recency,Recency group,history,History Group,Men/Women,zip_code,newbie,channel,segment,visit
1,1,1515.82,1,Both Men and Women,Surburban,1,Multichannel,Womens E-Mail,1
12,4,29.99,4,Only Men,Surburban,1,Web,Mens E-Mail,1
4,2,1434.9,1,Only Men,Surburban,1,Multichannel,Womens E-Mail,1
2,1,50.39,4,Only Men,Urban,0,Web,Mens E-Mail,1
2,1,39.31,4,Only Women,Surburban,1,Web,Womens E-Mail,1
2,1,55.77,4,Only Men,Urban,0,Phone,No E-Mail,1
1,1,1096.52,1,Only Men,Surburban,1,Phone,No E-Mail,1
1,1,365.79,3,Only Men,Urban,0,Phone,Mens E-Mail,1
3,1,1020.83,1,Only Women,Surburban,1,Phone,Mens E-Mail,1
1,1,136.67,4,Only Men,Rural,1,Phone,Mens E-Mail,1
4,2,29.99,4,Only Men,Urban,0,Web,Womens E-Mail,1
6,2,625.48,2,Both Men and Women,Surburban,1,Web,Mens E-Mail,1
3,1,346.88,3,Both Men and Women,Urban,0,Phone,Mens E-Mail,1
8,3,509.23,2,Only Men,Urban,1,Web,Womens E-Mail,1
8,3,219.85,4,Both Men and Women,Surburban,1,Web,No E-Mail,1
6,2,287.97,3,Only Men,Surburban,0,Web,No E-Mail,1
10,4,216.77,4,Both Men and Women,Urban,1,Multichannel,Mens E-Mail,1
10,4,43.64,4,Only Women,Surburban,0,Web,Mens E-Mail,1
1,1,486.4,2,Only Men,Urban,0,Multichannel,Womens E-Mail,1
3,1,144.35,4,Only Women,Surburban,0,Web,Mens E-Mail,1
10,4,29.99,4,Only Women,Urban,0,Web,No E-Mail,1
8,3,137.37,4,Only Men,Surburban,1,Web,Womens E-Mail,1
3,1,297.9,3,Both Men and Women,Surburban,0,Web,Mens E-Mail,1
2,1,496.21,2,Both Men and Women,Surburban,0,Multichannel,Mens E-Mail,1
8,3,29.99,4,Only Women,Urban,0,Web,No E-Mail,1
7,3,40.78,4,Only Men,Surburban,1,Phone,Mens E-Mail,1
2,1,30.4,4,Only Men,Urban,0,Web,Mens E-Mail,1
9,3,378.46,3,Both Men and Women,Surburban,0,Phone,No E-Mail,1
3,1,31.53,4,Only Women,Surburban,0,Phone,Womens E-Mail,1
4,2,55.63,4,Only Men,Rural,0,Web,Womens E-Mail,1
10,4,169.64,4,Only Women,Surburban,0,Web,Mens E-Mail,1
10,4,29.99,4,Only Men,Urban,1,Phone,Mens E-Mail,1
2,1,276.58,3,Only Men,Surburban,0,Web,No E-Mail,1
2,1,29.99,4,Only Men,Urban,0,Phone,Womens E-Mail,1
2,1,409.09,3,Only Women,Rural,0,Web,Mens E-Mail,1
9,3,266.74,3,Only Men,Urban,0,Multichannel,Womens E-Mail,1
9,3,497.55,2,Only Women,Surburban,0,Web,Mens E-Mail,1
2,1,253.54,3,Only Men,Surburban,0,Web,Mens E-Mail,1
5,2,477.28,2,Both Men and Women,Urban,0,Multichannel,Mens E-Mail,1
2,1,100.78,4,Only Men,Rural,1,Web,Mens E-Mail,1
4,2,310.89,3,Both Men and Women,Rural,0,Multichannel,No E-Mail,1
3,1,158.75,4,Only Women,Surburban,0,Web,Mens E-Mail,1
12,4,209.91,4,Only Women,Urban,0,Phone,Womens E-Mail,1
9,3,171.01,4,Only Women,Rural,0,Web,Womens E-Mail,1
10,4,29.99,4,Only Women,Surburban,0,Phone,Womens E-Mail,1
10,4,197.61,4,Only Men,Rural,1,Web,Mens E-Mail,1
1,1,172.31,4,Only Women,Surburban,1,Web,Womens E-Mail,1
5,2,388.14,3,Only Men,Surburban,1,Web,Mens E-Mail,1
1,1,1101.71,1,Both Men and Women,Surburban,1,Web,Mens E-Mail,1
1,1,96.34,4,Only Men,Urban,0,Phone,Womens E-Mail,1
1,1,72.2,4,Only Men,Surburban,1,Web,Mens E-Mail,1
8,3,400.92,3,Only Women,Urban,0,Multichannel,Womens E-Mail,1
9,3,544.11,2,Only Men,Rural,1,Phone,Womens E-Mail,1
10,4,29.99,4,Only Women,Urban,1,Phone,Womens E-Mail,1
9,3,29.99,4,Only Women,Urban,1,Web,Mens E-Mail,1
10,4,30.53,4,Only Women,Urban,1,Phone,Womens E-Mail,1
